dam_name, timetsep, water_level
dam01,0,1200
dam02,0,600
dam03,0,760
dam01,1,1200
dam02,1,600
dam03,1,760
dam01,2,1200
dam02,2,600
dam03,2,760
dam01,3,1200
dam02,3,600
dam03,3,760
dam01,4,1200
dam02,4,600
dam03,4,760
dam01,5,1200
dam02,5,600
dam03,5,760
dam01,6,1200
dam02,6,600
dam03,6,760
dam01,7,1200
dam02,7,600
dam03,7,760
dam01,8,1200
dam02,8,600
dam03,8,760
dam01,9,1200
dam02,9,600
dam03,9,760
dam01,10,1200
dam02,10,544
dam03,10,567
dam01,11,1200
dam02,11,564
dam03,11,567
dam01,12,1200
dam02,12,584
dam03,12,567
dam01,13,1200
dam02,13,600
dam03,13,567
dam01,14,1200
dam02,14,600
dam03,14,567
dam01,15,1200
dam02,15,600
dam03,15,567
dam01,16,1200
dam02,16,600
dam03,16,567
dam01,17,1200
dam02,17,600
dam03,17,567
dam01,18,1200
dam02,18,600
dam03,18,567
dam01,19,1200
dam02,19,600
dam03,19,567
dam01,20,1200
dam02,20,486
dam03,20,607
dam01,21,1200
dam02,21,506
dam03,21,607
dam01,22,1200
dam02,22,526
dam03,22,607
dam01,23,1200
dam02,23,546
dam03,23,607
dam01,24,1200
dam02,24,566
dam03,24,607
dam01,25,1200
dam02,25,586
dam03,25,607
dam01,26,1200
dam02,26,600
dam03,26,607
dam01,27,1200
dam02,27,600
dam03,27,607
dam01,28,1200
dam02,28,600
dam03,28,607
dam01,29,1200
dam02,29,600
dam03,29,607
dam01,30,1200
dam02,30,732
dam03,30,780
dam01,31,1200
dam02,31,702
dam03,31,780
dam01,32,1200
dam02,32,672
dam03,32,780
dam01,33,1200
dam02,33,642
dam03,33,780
dam01,34,1200
dam02,34,612
dam03,34,780
dam01,35,1200
dam02,35,600
dam03,35,780
dam01,36,1200
dam02,36,600
dam03,36,780
dam01,37,1200
dam02,37,600
dam03,37,780
dam01,38,1200
dam02,38,600
dam03,38,780
dam01,39,1200
dam02,39,600
dam03,39,780
dam01,40,1239
dam02,40,600
dam03,40,847
dam01,41,1200
dam02,41,600
dam03,41,817
dam01,42,1200
dam02,42,600
dam03,42,800
dam01,43,1200
dam02,43,600
dam03,43,800
dam01,44,1200
dam02,44,600
dam03,44,800
dam01,45,1200
dam02,45,600
dam03,45,800
dam01,46,1200
dam02,46,600
dam03,46,800
dam01,47,1200
dam02,47,600
dam03,47,800
dam01,48,1200
dam02,48,600
dam03,48,800
dam01,49,1200
dam02,49,600
dam03,49,800
dam01,50,1102
dam02,50,625
dam03,50,780
dam01,51,1152
dam02,51,600
dam03,51,780
dam01,52,1200
dam02,52,600
dam03,52,780
dam01,53,1200
dam02,53,600
dam03,53,780
